"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"356589" "C0027868" "ENG" "P" "L0562920" "PF" "S0950887" "Y" "A1007459" NA "" "" "ICD10" "PT" "G70.9" "Myoneural disorder, unspecified" 3 "N" 256 NA
"356726" "C0027873" "ENG" "P" "L0810302" "PF" "S0954407" "Y" "A1011144" NA "" "" "ICD10" "PT" "G36.0" "Neuromyelitis optica [Devic]" 3 "N" NA NA
"356846" "C0027877" "ENG" "P" "L0027877" "VO" "S0000424" "Y" "A0001217" NA "" "" "ICD10" "PT" "E75.4" "Neuronal ceroid lipofuscinosis" 3 "N" NA NA
"357094" "C0027888" "ENG" "P" "L0027888" "VO" "S0660657" "Y" "A0715964" NA "" "" "ICD10" "PT" "G60.0" "Hereditary motor and sensory neuropathy" 3 "N" NA NA
"357653" "C0027927" "ENG" "S" "L0598432" "PF" "S0695863" "Y" "A0752513" NA "" "" "ICD10" "PT" "A52.3" "Neurosyphilis, unspecified" 3 "N" 256 NA
"357748" "C0027932" "ENG" "S" "L0297190" "PF" "S0695872" "Y" "A0752527" NA "" "" "ICD10" "PT" "F48.9" "Neurotic disorder, unspecified" 3 "N" NA NA
"358094" "C0027962" "ENG" "P" "L0249625" "VO" "S0944083" "Y" "A1000157" NA "" "" "ICD10" "HT" "D22" "Melanocytic naevi" 3 "N" NA NA
"358111" "C0027962" "ENG" "S" "L0595405" "VO" "S0686754" "Y" "A0742249" NA "" "" "ICD10" "PT" "D22.9" "Melanocytic naevi, unspecified" 3 "N" NA NA
"359119" "C0028077" "ENG" "P" "L0028077" "PF" "S0390694" "Y" "A0439181" NA "" "" "ICD10" "PT" "H53.6" "Night blindness" 3 "N" NA NA
"359188" "C0028084" "ENG" "P" "L0028084" "PF" "S0066777" "Y" "A0092313" NA "" "" "ICD10" "PT" "F51.5" "Nightmares" 3 "N" 256 NA
"360682" "C0028242" "ENG" "P" "L0598743" "PF" "S0696560" "Y" "A0753275" NA "" "" "ICD10" "PT" "A43.9" "Nocardiosis, unspecified" 3 "N" 256 NA
"360687" "C0028242" "ENG" "S" "L0028244" "PF" "S0000245" "N" "A0000696" NA "" "" "ICD10" "HT" "A43" "Nocardiosis" 3 "N" 256 NA
"361255" "C0028309" "ENG" "P" "L0804236" "PF" "S0858292" "Y" "A0916657" NA "" "" "ICD10" "PT" "K09.1" "Developmental (nonodontogenic) cysts of oral region" 3 "N" NA NA
"362168" "C0028431" "ENG" "P" "L1222373" "PF" "S0218782" "Y" "A0243518" NA "" "" "ICD10" "PT" "M95.0" "Acquired deformity of nose" 3 "N" 256 NA
"365378" "C0028754" "ENG" "P" "L0028754" "PF" "S0068062" "N" "A0093888" NA "" "" "ICD10" "HT" "E66" "Obesity" 3 "N" 256 NA
"365390" "C0028754" "ENG" "S" "L0599282" "PF" "S0699154" "Y" "A0755841" NA "" "" "ICD10" "PT" "E66.9" "Obesity, unspecified" 3 "N" 256 NA
"365636" "C0028768" "ENG" "P" "L0028768" "VC" "S0699197" "N" "A0755884" NA "" "" "ICD10" "HT" "F42" "Obsessive-compulsive disorder" 3 "N" NA NA
"365658" "C0028768" "ENG" "S" "L0549193" "PF" "S0699199" "Y" "A0755890" NA "" "" "ICD10" "PT" "F42.9" "Obsessive-compulsive disorder, unspecified" 3 "N" NA NA
"366592" "C0028841" "ENG" "P" "L0181630" "PF" "S0246169" "Y" "A0273171" NA "" "" "ICD10" "PT" "H44.4" "Hypotony of eye" 3 "N" 256 NA
"366977" "C0028866" "ENG" "S" "L0874070" "PF" "S1045406" "Y" "A1102778" NA "" "" "ICD10" "PT" "H49.0" "Third [oculomotor] nerve palsy" 3 "N" NA NA
"368238" "C0028949" "ENG" "S" "L0876337" "VO" "S0963929" "Y" "A1020794" NA "" "" "ICD10" "PT" "N91.5" "Oligomenorrhoea, unspecified" 3 "N" NA NA
"368421" "C0028962" "ENG" "P" "L0028962" "PF" "S0806629" "Y" "A0866542" NA "" "" "ICD10" "PT" "R34" "Anuria and oliguria" 3 "N" NA NA
"368659" "C0029001" "ENG" "P" "L0029001" "PF" "S0068677" "N" "A0094616" NA "" "" "ICD10" "PT" "B73" "Onchocerciasis" 3 "N" 256 NA
"369986" "C0029104" "ENG" "P" "L0522846" "VO" "S0944636" "Y" "A1000879" NA "" "" "ICD10" "PT" "F11.3" "Mental and behavioural disorders due to use of opioids, withdrawal state" 3 "N" NA NA
"370012" "C0029106" "ENG" "P" "L0029106" "PF" "S0068925" "Y" "A0094920" NA "" "" "ICD10" "PT" "B66.0" "Opisthorchiasis" 3 "N" 256 NA
"370171" "C0029119" "ENG" "P" "L0029119" "PF" "S0217724" "Y" "A0240252" NA "" "" "ICD10" "PT" "B48.7" "Opportunistic mycoses" 3 "N" 256 NA
"370180" "C0029121" "ENG" "P" "L0029121" "PF" "S0000021" "Y" "A0000071" NA "" "" "ICD10" "PT" "F91.3" "Oppositional defiant disorder" 3 "N" NA NA
"370229" "C0029124" "ENG" "P" "L0029124" "VC" "S0392153" "Y" "A0441144" NA "" "" "ICD10" "PT" "H47.2" "Optic atrophy" 3 "N" NA NA
"370643" "C0029134" "ENG" "P" "L0029134" "PF" "S0392171" "Y" "A0441183" NA "" "" "ICD10" "PT" "H46" "Optic neuritis" 3 "N" NA NA
"371089" "C0029172" "ENG" "P" "L0029172" "VC" "S0967974" "Y" "A1024686" NA "" "" "ICD10" "PT" "K13.5" "Oral submucous fibrosis" 3 "N" NA NA
"371164" "C0029182" "ENG" "S" "L0041816" "PF" "S0860858" "Y" "A0919416" NA "" "" "ICD10" "PT" "H05.9" "Disorder of orbit, unspecified" 3 "N" NA NA
"371168" "C0029182" "ENG" "S" "L0182115" "PF" "S0861018" "N" "A0919631" NA "" "" "ICD10" "HT" "H05" "Disorders of orbit" 3 "N" 256 NA
"371736" "C0029225" "ENG" "P" "L0558354" "PF" "S0701939" "Y" "A0758874" NA "" "" "ICD10" "PT" "F06.2" "Organic delusional [schizophrenia-like] disorder" 3 "N" NA NA
"371740" "C0029226" "ENG" "P" "L0029226" "PF" "S0392262" "Y" "A0441327" NA "" "" "ICD10" "PT" "F06.0" "Organic hallucinosis" 3 "N" 256 NA
"371903" "C0029232" "ENG" "P" "L0495935" "PF" "S0701950" "Y" "A0758889" NA "" "" "ICD10" "PT" "F06.3" "Organic mood [affective] disorders" 3 "N" NA NA
"371908" "C0029233" "ENG" "P" "L0029233" "PF" "S0000094" "Y" "A0000236" NA "" "" "ICD10" "PT" "F07.0" "Organic personality disorder" 3 "N" 256 NA
"372372" "C0029261" "ENG" "S" "L0566019" "PF" "S0701995" "Y" "A0758935" NA "" "" "ICD10" "PT" "F52.3" "Orgasmic dysfunction" 3 "N" 256 NA
"374161" "C0029401" "ENG" "S" "L0753713" "VCW" "S0982775" "Y" "A1040439" NA "" "" "ICD10" "HT" "M88" "Paget's disease of bone [osteitis deformans]" 3 "N" NA NA
"374162" "C0029401" "ENG" "S" "L0753787" "PF" "S0982776" "Y" "A1040441" NA "" "" "ICD10" "PT" "M88.9" "Paget's disease of bone, unspecified" 3 "N" NA NA
"374361" "C0029410" "ENG" "S" "L0726047" "PF" "S0849944" "Y" "A0908667" NA "" "" "ICD10" "HT" "M16" "Coxarthrosis [arthrosis of hip]" 3 "N" NA NA
"374363" "C0029410" "ENG" "S" "L0800573" "PF" "S0849946" "Y" "A0908672" NA "" "" "ICD10" "PT" "M16.9" "Coxarthrosis, unspecified" 3 "N" NA NA
"374419" "C0029411" "ENG" "S" "L0546389" "PF" "S0620099" "Y" "A0675730" NA "" "" "ICD10" "PT" "L62.0" "Clubbed nail pachydermoperiostosis" 3 "N" 256 NA
"374705" "C0029421" "ENG" "P" "L0029421" "VC" "S0392392" "Y" "A0441526" NA "" "" "ICD10" "PT" "M93.2" "Osteochondritis dissecans" 3 "N" NA NA
"374737" "C0029422" "ENG" "S" "L0877471" "PF" "S0968806" "Y" "A1025525" NA "" "" "ICD10" "PT" "Q78.9" "Osteochondrodysplasia, unspecified" 3 "N" 256 NA
"374980" "C0029434" "ENG" "P" "L0029434" "VC" "S0392403" "Y" "A0441542" NA "" "" "ICD10" "PT" "Q78.0" "Osteogenesis imperfecta" 3 "N" NA NA
"375181" "C0029443" "ENG" "P" "L0029443" "PF" "S0069570" "N" "A0095788" NA "" "" "ICD10" "HT" "M86" "Osteomyelitis" 3 "N" 256 NA
"375189" "C0029443" "ENG" "S" "L0314129" "PF" "S0968845" "Y" "A1025569" NA "" "" "ICD10" "PT" "M86.9" "Osteomyelitis, unspecified" 3 "N" 256 NA
"375225" "C0029445" "ENG" "S" "L0029445" "PF" "S0069572" "N" "A0095798" NA "" "" "ICD10" "HT" "M87" "Osteonecrosis" 3 "N" 256 NA
"375233" "C0029445" "ENG" "S" "L0877520" "PF" "S0968860" "Y" "A1025596" NA "" "" "ICD10" "PT" "M87.9" "Osteonecrosis, unspecified" 3 "N" 256 NA
"375364" "C0029454" "ENG" "S" "L0029454" "PF" "S0069583" "Y" "A0095823" NA "" "" "ICD10" "PT" "Q78.2" "Osteopetrosis" 3 "N" 256 NA
"375474" "C0029456" "ENG" "S" "L0600489" "PF" "S0702509" "Y" "A0759504" NA "" "" "ICD10" "PT" "M81.9" "Osteoporosis, unspecified" 3 "N" 256 NA
"375540" "C0029458" "ENG" "P" "L0029458" "VCW" "S0506179" "Y" "A0577662" NA "" "" "ICD10" "PT" "M81.0" "Postmenopausal osteoporosis" 3 "N" NA NA
"375806" "C0029482" "ENG" "P" "L0029482" "PF" "S0217746" "Y" "A0240307" NA "" "" "ICD10" "PT" "B88.0" "Other acariasis" 3 "N" 256 NA
"375819" "C0029485" "ENG" "P" "L0029485" "PF" "S0218675" "Y" "A0243187" NA "" "" "ICD10" "PT" "L70.8" "Other acne" 3 "N" 256 NA
"375837" "C0029495" "ENG" "P" "L0544257" "PF" "S0703346" "Y" "A0760476" NA "" "" "ICD10" "PT" "E06.5" "Other chronic thyroiditis" 3 "N" 256 NA
"375843" "C0029496" "ENG" "S" "L0787899" "PF" "S0971256" "N" "A1028351" NA "" "" "ICD10" "HT" "D68" "Other coagulation defects" 3 "N" 256 NA
"375853" "C0029499" "ENG" "P" "L0694111" "PF" "S0868008" "Y" "A0926273" NA "" "" "ICD10" "PX" "T70.2" "Effects of other and unspecified effects of high altitude" 3 "N" NA NA
"375857" "C0029499" "ENG" "S" "L0029499" "PF" "S0218993" "Y" "A0244074" NA "" "" "ICD10" "PS" "T70.2" "Other and unspecified effects of high altitude" 3 "Y" NA NA
"375886" "C0029513" "ENG" "P" "L0029513" "PF" "S0703092" "Y" "A0760126" NA "" "" "ICD10" "PT" "N83.2" "Other and unspecified ovarian cysts" 3 "N" NA NA
"375910" "C0029525" "ENG" "P" "L0029525" "PF" "S0703469" "Y" "A0760650" NA "" "" "ICD10" "PT" "M85.6" "Other cyst of bone" 3 "N" 256 NA
"375921" "C0029527" "ENG" "P" "L0029527" "PF" "S0217590" "Y" "A0239895" NA "" "" "ICD10" "PT" "A23.8" "Other brucellosis" 3 "N" 256 NA
"375929" "C0029531" "ENG" "P" "L0029531" "PF" "S0218115" "N" "A0241400" NA "" "" "ICD10" "HT" "H26" "Other cataract" 3 "N" 256 NA
"375942" "C0029537" "ENG" "P" "L0029537" "PF" "S0218899" "N" "A0243837" NA "" "" "ICD10" "PT" "R07.3" "Other chest pain" 3 "N" 256 NA
"375956" "C0029539" "ENG" "P" "L0029539" "PF" "S0218480" "Y" "A0242573" NA "" "" "ICD10" "PT" "K81.8" "Other cholecystitis" 3 "N" 256 NA
"375967" "C0029542" "ENG" "P" "L0029542" "PF" "S0971210" "Y" "A1028285" NA "" "" "ICD10" "PT" "G25.5" "Other chorea" 3 "N" 256 NA
"376013" "C0029560" "ENG" "P" "L0029560" "PF" "S0218144" "Y" "A0241483" NA "" "" "ICD10" "PT" "H10.8" "Other conjunctivitis" 3 "N" 256 NA
"376036" "C0029569" "ENG" "P" "L0029569" "PF" "S0703473" "Y" "A0760656" NA "" "" "ICD10" "PT" "K09.2" "Other cysts of jaw" 3 "N" 256 NA
"376044" "C0029571" "ENG" "P" "L0029571" "VO" "S0971687" "N" "A1029022" NA "" "" "ICD10" "HT" "G23" "Other degenerative diseases of basal ganglia" 3 "N" 256 NA
"376068" "C0029582" "ENG" "P" "L0029582" "VO" "S0703606" "Y" "A0760855" NA "" "" "ICD10" "HT" "J95-J99.9" "Other diseases of the respiratory system" 3 "N" NA NA
"376069" "C0029582" "ENG" "S" "L0816114" "PF" "S0974420" "N" "A1032434" NA "" "" "ICD10" "HT" "J98" "Other respiratory disorders" 3 "N" 256 NA
"376079" "C0029587" "ENG" "P" "L0029587" "PF" "S0703708" "N" "A0761024" NA "" "" "ICD10" "PT" "F50.8" "Other eating disorders" 3 "N" 256 NA
"376091" "C0029590" "ENG" "P" "L0029590" "PF" "S0218168" "N" "A0241562" NA "" "" "ICD10" "HT" "H27" "Other disorders of lens" 3 "N" 256 NA
"376110" "C0029595" "ENG" "P" "L0029595" "PF" "S0217883" "Y" "A0240762" NA "" "" "ICD10" "PT" "E79.8" "Other disorders of purine and pyrimidine metabolism" 3 "N" NA NA
"376128" "C0029603" "ENG" "P" "L0029603" "PF" "S0218972" "Y" "A0244025" NA "" "" "ICD10" "PT" "T79.8" "Other early complications of trauma" 3 "N" 256 NA
"376136" "C0029604" "ENG" "P" "L0029604" "PF" "S0218598" "Y" "A0242952" NA "" "" "ICD10" "PT" "O00.8" "Other ectopic pregnancy" 3 "N" 256 NA
"376147" "C0029607" "ENG" "P" "L0029607" "PF" "S0218330" "Y" "A0242127" NA "" "" "ICD10" "PT" "J43.8" "Other emphysema" 3 "N" 256 NA
"376162" "C0029610" "ENG" "P" "L0029610" "PF" "S0218085" "Y" "A0241322" NA "" "" "ICD10" "PT" "H44.1" "Other endophthalmitis" 3 "N" 256 NA
"376178" "C0029616" "ENG" "P" "L1223106" "PF" "S0971827" "Y" "A1029238" NA "" "" "ICD10" "PT" "G51.8" "Other disorders of facial nerve" 3 "N" 256 NA
"376221" "C0029632" "ENG" "P" "L0029632" "VO" "S0972365" "Y" "A1029929" NA "" "" "ICD10" "PT" "D58.2" "Other haemoglobinopathies" 3 "N" 256 NA
"376229" "C0029635" "ENG" "P" "L0029635" "PF" "S0217888" "N" "A0240779" NA "" "" "ICD10" "HT" "E67" "Other hyperalimentation" 3 "N" 256 NA
"376243" "C0029640" "ENG" "P" "L0029640" "PF" "S0218441" "Y" "A0242460" NA "" "" "ICD10" "PT" "K56.4" "Other impaction of intestine" 3 "N" 256 NA
"376251" "C0029644" "ENG" "P" "L0029644" "PF" "S0218708" "N" "A0243304" NA "" "" "ICD10" "HT" "M46" "Other inflammatory spondylopathies" 3 "N" 256 NA
"376278" "C0029655" "ENG" "P" "L0029655" "VO" "S0704159" "Y" "A0761674" NA "" "" "ICD10" "PT" "C95.7" "Other leukaemia of unspecified cell type" 3 "N" 256 NA
"376293" "C0029660" "ENG" "P" "L0029660" "VO" "S0704203" "Y" "A0761731" NA "" "" "ICD10" "PT" "C91.7" "Other lymphoid leukaemia" 3 "N" NA NA
"376306" "C0029665" "ENG" "P" "L0029665" "PF" "S0217843" "Y" "A0240634" NA "" "" "ICD10" "PT" "E50.8" "Other manifestations of vitamin A deficiency" 3 "N" 256 NA
"376313" "C0029667" "ENG" "S" "L0754602" "PF" "S0972987" "N" "A1030784" NA "" "" "ICD10" "HT" "A92" "Other mosquito-borne viral fevers" 3 "N" 256 NA
"376330" "C0029670" "ENG" "P" "L0029670" "VO" "S0704336" "Y" "A0761950" NA "" "" "ICD10" "PT" "C92.7" "Other myeloid leukaemia" 3 "N" NA NA
"376351" "C0029678" "ENG" "S" "L0029678" "PF" "S0704391" "Y" "A0762028" NA "" "" "ICD10" "PT" "D69.2" "Other nonthrombocytopenic purpura" 3 "N" 256 NA
"376368" "C0029694" "ENG" "P" "L0029694" "PF" "S0218754" "Y" "A0243447" NA "" "" "ICD10" "PT" "M81.8" "Other osteoporosis" 3 "N" 256 NA
"376377" "C0029695" "ENG" "P" "L0029695" "PF" "S0218178" "Y" "A0241583" NA "" "" "ICD10" "PT" "H60.8" "Other otitis externa" 3 "N" 256 NA
"376385" "C0029696" "ENG" "P" "L0029696" "PF" "S0218193" "Y" "A0241640" NA "" "" "ICD10" "PT" "H80.8" "Other otosclerosis" 3 "N" 256 NA
"376410" "C0029706" "ENG" "P" "L0029706" "PF" "S0218192" "Y" "A0241634" NA "" "" "ICD10" "PT" "H81.3" "Other peripheral vertigo" 3 "N" 256 NA
"376424" "C0029709" "ENG" "S" "L0029709" "PF" "S0704690" "Y" "A0762475" NA "" "" "ICD10" "PT" "Z50.1" "Other physical therapy" 3 "N" NA NA
"376429" "C0029711" "ENG" "P" "L0029711" "PF" "S0219033" "Y" "A0244162" NA "" "" "ICD10" "PT" "Z41.1" "Other plastic surgery for unacceptable cosmetic appearance" 3 "N" 256 NA
"376437" "C0029713" "ENG" "P" "L0029713" "PF" "S0218852" "Y" "A0243695" NA "" "" "ICD10" "PT" "P07.3" "Other preterm infants" 3 "N" 256 NA
"376474" "C0029730" "ENG" "P" "L0029730" "PF" "S0218207" "N" "A0241683" NA "" "" "ICD10" "HT" "I09" "Other rheumatic heart diseases" 3 "N" 256 NA
"376502" "C0029741" "ENG" "P" "L0816016" "PF" "S0975078" "Y" "A1033308" NA "" "" "ICD10" "PT" "M62.8" "Other specified disorders of muscle" 3 "N" 256 NA
"376514" "C0029744" "ENG" "P" "L0029744" "VO" "S0974718" "Y" "A1032825" NA "" "" "ICD10" "PT" "D64.8" "Other specified anaemias" 3 "N" 256 NA
"376524" "C0029745" "ENG" "P" "L0029745" "VO" "S0705287" "Y" "A0763268" NA "" "" "ICD10" "PT" "D61.8" "Other specified aplastic anaemias" 3 "N" NA NA
"376533" "C0029746" "ENG" "S" "L0185104" "PF" "S0705500" "Y" "A0763615" NA "" "" "ICD10" "PT" "M25.8" "Other specified joint disorders" 3 "N" 256 NA
"376536" "C0029746" "ENG" "S" "L0725583" "PF" "S0974670" "Y" "A1032749" NA "" "" "ICD10" "HT" "M12" "Other specific arthropathies" 3 "N" NA NA
"376558" "C0029754" "ENG" "P" "L0029754" "PF" "S0705326" "Y" "A0763333" NA "" "" "ICD10" "PT" "B71.8" "Other specified cestode infections" 3 "N" 256 NA
"376582" "C0029768" "ENG" "P" "L0029768" "PF" "S0217930" "Y" "A0240908" NA "" "" "ICD10" "PT" "D75.8" "Other specified diseases of blood and blood-forming organs" 3 "N" NA NA
"376594" "C0029770" "ENG" "P" "L0029770" "PF" "S0218361" "Y" "A0242211" NA "" "" "ICD10" "PT" "K03.8" "Other specified diseases of hard tissues of teeth" 3 "N" 256 NA
"376603" "C0029771" "ENG" "P" "L0029771" "PF" "S0218489" "Y" "A0242608" NA "" "" "ICD10" "PT" "K86.8" "Other specified diseases of pancreas" 3 "N" 256 NA
"376610" "C0029772" "ENG" "P" "L0029772" "PF" "S0705389" "Y" "A0763436" NA "" "" "ICD10" "PT" "K10.8" "Other specified diseases of jaws" 3 "N" 256 NA
"376622" "C0029774" "ENG" "P" "L0029774" "PF" "S0217859" "Y" "A0240681" NA "" "" "ICD10" "PT" "E72.8" "Other specified disorders of amino-acid metabolism" 3 "N" 256 NA
"376632" "C0029776" "ENG" "P" "L0029776" "PF" "S0218525" "Y" "A0242711" NA "" "" "ICD10" "PT" "N32.8" "Other specified disorders of bladder" 3 "N" 256 NA
"376644" "C0029781" "ENG" "P" "L0029781" "PF" "S0218519" "Y" "A0242687" NA "" "" "ICD10" "PT" "N28.8" "Other specified disorders of kidney and ureter" 3 "N" NA NA
"376653" "C0029782" "ENG" "P" "L0029782" "PF" "S0218544" "Y" "A0242791" NA "" "" "ICD10" "PT" "N50.8" "Other specified disorders of male genital organs" 3 "N" 256 NA
"376666" "C0029785" "ENG" "P" "L0029785" "PF" "S0218541" "Y" "A0242774" NA "" "" "ICD10" "PT" "N48.8" "Other specified disorders of penis" 3 "N" 256 NA
"376675" "C0029786" "ENG" "P" "L0029786" "PF" "S0218451" "Y" "A0242486" NA "" "" "ICD10" "PT" "K66.8" "Other specified disorders of peritoneum" 3 "N" 256 NA
"376685" "C0029790" "ENG" "P" "L0029790" "PF" "S0705421" "Y" "A0763510" NA "" "" "ICD10" "PT" "K08.8" "Other specified disorders of teeth and supporting structures" 3 "N" NA NA
"376697" "C0029793" "ENG" "P" "L0029793" "PF" "S0217841" "N" "A0240625" NA "" "" "ICD10" "PT" "E34.8" "Other specified endocrine disorders" 3 "N" 256 NA
"376706" "C0029794" "ENG" "P" "L0029794" "PF" "S0218647" "N" "A0243100" NA "" "" "ICD10" "PT" "L53.8" "Other specified erythematous conditions" 3 "N" 256 NA
"376737" "C0029803" "ENG" "P" "L1223109" "PF" "S0705465" "Y" "A0763563" NA "" "" "ICD10" "PT" "B83.8" "Other specified helminthiases" 3 "N" 256 NA
"376749" "C0029804" "ENG" "P" "L0029804" "VO" "S0975376" "Y" "A1033645" NA "" "" "ICD10" "PT" "D69.8" "Other specified haemorrhagic conditions" 3 "N" 256 NA
"376763" "C0029808" "ENG" "P" "L0029808" "PF" "S0705490" "Y" "A0763600" NA "" "" "ICD10" "PT" "B81.8" "Other specified intestinal helminthiases" 3 "N" 256 NA
"376782" "C0029812" "ENG" "S" "L0029812" "VO" "S0705519" "Y" "A0763639" NA "" "" "ICD10" "PT" "C94.7" "Other specified leukaemias" 3 "N" NA NA
"376788" "C0029813" "ENG" "P" "L0029813" "PF" "S0218633" "Y" "A0243065" NA "" "" "ICD10" "PT" "L08.8" "Other specified local infections of skin and subcutaneous tissue" 3 "N" NA NA
"376803" "C0029816" "ENG" "P" "L0029816" "PF" "S0218079" "Y" "A0241295" NA "" "" "ICD10" "PT" "G70.8" "Other specified myoneural disorders" 3 "N" 256 NA
"376816" "C0029819" "ENG" "P" "L0029819" "PF" "S0218580" "Y" "A0242907" NA "" "" "ICD10" "PT" "N89.8" "Other specified noninflammatory disorders of vagina" 3 "N" 256 NA
"376822" "C0029822" "ENG" "P" "L0029822" "PF" "S0218261" "N" "A0241862" NA "" "" "ICD10" "PT" "I73.8" "Other specified peripheral vascular diseases" 3 "N" 256 NA
"376843" "C0029826" "ENG" "P" "L0029826" "PF" "S0217563" "Y" "A0239787" NA "" "" "ICD10" "PT" "A02.8" "Other specified salmonella infections" 3 "N" 256 NA
"376857" "C0029830" "ENG" "P" "L0029830" "VO" "S0705631" "Y" "A0763805" NA "" "" "ICD10" "PT" "A69.8" "Other specified spirochaetal infections" 3 "N" 256 NA
"376866" "C0029831" "ENG" "P" "L0029831" "PF" "S0218162" "Y" "A0241540" NA "" "" "ICD10" "PT" "H50.8" "Other specified strabismus" 3 "N" 256 NA
"376908" "C0029850" "ENG" "P" "L0029850" "PF" "S0218346" "Y" "A0242167" NA "" "" "ICD10" "PT" "J93.1" "Other spontaneous pneumothorax" 3 "N" 256 NA
"376923" "C0029856" "ENG" "P" "L1223111" "PF" "S0218724" "Y" "A0243364" NA "" "" "ICD10" "PT" "M65.8" "Other synovitis and tenosynovitis" 3 "N" NA NA
"376932" "C0029857" "ENG" "P" "L0029857" "PF" "S0217837" "Y" "A0240617" NA "" "" "ICD10" "PT" "E29.8" "Other testicular dysfunction" 3 "N" 256 NA
"376955" "C0029867" "ENG" "P" "L0029867" "PF" "S0218527" "Y" "A0242718" NA "" "" "ICD10" "PT" "N34.2" "Other urethritis" 3 "N" 256 NA
"376968" "C0029871" "ENG" "P" "L0029871" "PF" "S0217665" "Y" "A0240091" NA "" "" "ICD10" "PT" "B30.8" "Other viral conjunctivitis" 3 "N" 256 NA
"376976" "C0029872" "ENG" "P" "L0029872" "PF" "S0218166" "Y" "A0241552" NA "" "" "ICD10" "PT" "H43.3" "Other vitreous opacities" 3 "N" 256 NA
"377020" "C0029878" "ENG" "P" "L0029878" "VC" "S0392496" "N" "A0441670" NA "" "" "ICD10" "HT" "H60" "Otitis externa" 3 "N" NA NA
"377026" "C0029878" "ENG" "S" "L0831865" "PF" "S0977310" "Y" "A1035876" NA "" "" "ICD10" "PT" "H60.9" "Otitis externa, unspecified" 3 "N" NA NA
"377067" "C0029882" "ENG" "S" "L0041869" "PF" "S0977324" "Y" "A1035897" NA "" "" "ICD10" "PT" "H66.9" "Otitis media, unspecified" 3 "N" NA NA
"377175" "C0029888" "ENG" "S" "L0311627" "PF" "S1037804" "Y" "A1095440" NA "" "" "ICD10" "PT" "H66.4" "Suppurative otitis media, unspecified" 3 "N" NA NA
"377178" "C0029888" "ENG" "S" "L0311627" "VO" "S0218184" "N" "A0241607" NA "" "" "ICD10" "HT" "H66" "Suppurative and unspecified otitis media" 3 "N" NA NA
"377436" "C0029899" "ENG" "P" "L0029899" "PF" "S0069659" "N" "A0095952" NA "" "" "ICD10" "HT" "H80" "Otosclerosis" 3 "N" 256 NA
"377449" "C0029899" "ENG" "S" "L0600699" "PF" "S0706063" "Y" "A0764364" NA "" "" "ICD10" "PT" "H80.9" "Otosclerosis, unspecified" 3 "N" 256 NA
"380609" "C0030193" "ENG" "S" "L0222623" "PF" "S0982883" "Y" "A1040575" NA "" "" "ICD10" "PT" "R52.9" "Pain, unspecified" 3 "N" NA NA
"380628" "C0030196" "ENG" "P" "L0030196" "PF" "S0218740" "N" "A0243402" NA "" "" "ICD10" "PT" "M79.6" "Pain in limb" 3 "N" 256 NA
"381206" "C0030232" "ENG" "P" "L1223125" "PF" "S0070475" "N" "A0096954" NA "" "" "ICD10" "PT" "R23.1" "Pallor" 3 "N" 256 NA
"381443" "C0030246" "ENG" "S" "L0034168" "PF" "S0398387" "Y" "A0450288" NA "" "" "ICD10" "PT" "L40.3" "Pustulosis palmaris et plantaris" 3 "N" NA NA
"381491" "C0030252" "ENG" "P" "L0030252" "PF" "S0001595" "N" "A0004064" NA "" "" "ICD10" "PT" "R00.2" "Palpitations" 3 "N" 256 NA
"381905" "C0030283" "ENG" "P" "L0294521" "PF" "S0479568" "Y" "A0546372" NA "" "" "ICD10" "PT" "K86.2" "Cyst of pancreas" 3 "N" 256 NA
"381944" "C0030286" "ENG" "S" "L0296941" "PF" "S0860451" "Y" "A0918898" NA "" "" "ICD10" "PT" "K86.9" "Disease of pancreas, unspecified" 3 "N" NA NA
"382206" "C0030299" "ENG" "P" "L0314491" "PF" "S0397988" "Y" "A0449669" NA "" "" "ICD10" "PT" "K86.3" "Pseudocyst of pancreas" 3 "N" 256 NA
"382417" "C0030319" "ENG" "S" "L0711339" "PF" "S0983273" "Y" "A1040960" NA "" "" "ICD10" "PT" "F41.0" "Panic disorder [episodic paroxysmal anxiety]" 3 "N" NA NA
"382447" "C0030326" "ENG" "P" "L0601227" "PF" "S0710081" "Y" "A0767816" NA "" "" "ICD10" "PT" "M79.3" "Panniculitis, unspecified" 3 "N" 256 NA
"382553" "C0030328" "ENG" "P" "L0782691" "PF" "S1008820" "Y" "A1066598" NA "" "" "ICD10" "PT" "M35.6" "Relapsing panniculitis [Weber-Christian]" 3 "N" NA NA
"382896" "C0030353" "ENG" "S" "L0601259" "VO" "S0983368" "Y" "A1041073" NA "" "" "ICD10" "PT" "H47.1" "Papilloedema, unspecified" 3 "N" NA NA
"383062" "C0030364" "ENG" "P" "L0586998" "PF" "S0710319" "Y" "A0768145" NA "" "" "ICD10" "PT" "B34.4" "Papovavirus infection, unspecified" 3 "N" 256 NA
"383075" "C0030372" "ENG" "P" "L0036159" "PF" "S0403249" "Y" "A0456651" NA "" "" "ICD10" "PT" "A93.1" "Sandfly fever" 3 "N" NA NA
